Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Baclofene,BACLOFENE 10MG 5ML 10 UNITA' USO INTRATECALE,BACLOFENE*10 fiale soluz iniett 10 mg 5 ml,628 00,380 50,-,MOLTENI & C. F.LLI ALITTI SpA,040646034,CSV,
Baclofene,BACLOFENE 10MG 5ML 5 UNITA' USO INTRATECALE,BACLOFENE*5 fiale soluz iniett 10 mg 5 ml uso intratecale,330 51,200 27,-,BIOINDUSTRIA L.I.M. SpA,041650021,CSW,
Bcg - Bacillo di Calmette e Guerin,BCG BACILLO DI CALMETTE E GUERIN 50ML 1 UNITA' USO ENDOVESCICALE,BCG*1 flaconcino polv sosp endovescicale + 1 sacca solv 50 ml con catetere + adattatore,116 18,70 40,-,MEDAC PHARMA Srl,042171013,ACF,
Bcg - Bacillo di Calmette e Guerin,BCG BACILLO DI CALMETTE E GUERIN 50ML 1 UNITA' USO ENDOVESCICALE,BCG*1 flaconcino polv sosp endovescicale + 1 sacca solv 50 ml senza catetere + adattatore luer-lock,116 18,70 40,-,MEDAC PHARMA Srl,042171090,ACF,
Belimumab,BELIMUMAB 120MG 1 UNITA' USO PARENTERALE,BENLYSTA*1 flaconcino EV 120 mg,229 25,138 91,-,GLAXOSMITHKLINE SpA,041381017,AFT,
Belimumab,BELIMUMAB 400MG 1 UNITA' USO PARENTERALE,BENLYSTA*1 flaconcino EV 400 mg,764 19,463 03,-,GLAXOSMITHKLINE SpA,041381029,AFU,
Tasonermina,TASONERMINA 1MG 5ML 4 UNITA' USO PARENTERALE,BEROMUN*4 fiale EV 1 mg + 4 fiale solv 5 ml,12.734 24,7.715 85,-,BOEHRINGER INGELHEIM IT.SpA,034483014,BLV,
Epoetina Alfa,EPOETINA ALFA 1.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 1.000 UI 0 5 ml,84 37,51 12,-,SANDOZ SpA,038190029,ANN,
Epoetina Alfa,EPOETINA ALFA 10.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 10.000 UI 1 ml,843 47,511 07,-,SANDOZ SpA,038190169,ANO,
Epoetina Alfa,EPOETINA ALFA 2.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 2.000 UI 1 ml,168 85,102 31,-,SANDOZ SpA,038190043,ANP,
Epoetina Alfa,EPOETINA ALFA 3.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 3.000 UI 0 3 ml,252 92,153 24,-,SANDOZ SpA,038190068,ANQ,
Epoetina Alfa,EPOETINA ALFA 4.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 4.000 UI 0 4 ml,337 37,204 42,-,SANDOZ SpA,038190082,ANR,
Epoetina Alfa,EPOETINA ALFA 5.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 5.000 UI 0 5 ml,421 65,255 48,-,SANDOZ SpA,038190106,ANS,
Epoetina Alfa,EPOETINA ALFA 6.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 6.000 UI 0 6 ml,505 84,306 49,-,SANDOZ SpA,038190120,ANU,
Epoetina Alfa,EPOETINA ALFA 8.000UI 6 UNITA' USO PARENTERALE,BINOCRIT*6 siringhe 8.000 UI 0 8 ml,674 65,408 78,-,SANDOZ SpA,038190144,ANV,
Bleomicina,BLEOMICINA 15.000UI 1 UNITA' USO PARENTERALE,BLEOMICINA*1 flaconcino 15.000 UI,19 38,11 74,-,TEVA ITALIA Srl,039269016,AGI,
Bleomicina,BLEOMICINA 15.000UI 1 UNITA' USO PARENTERALE,BLEOPRIM*1 flaconcino iniett 15.000 UI,32 30,14 69,-,SANOFI SpA,022395026,AGI,
Sodio ibandronato monoidrato,SODIO IBANDRONATO 6MG 6ML 1 UNITA' USO PARENTERALE,BONDRONAT*1 flaconcino EV 6 mg/6 ml,384 28,232 85,-,ROCHE SpA,036570036,BKQ,
Sodio ibandronato monoidrato,SODIO IBANDRONATO 3MG 3ML 1 UNITA' USO PARENTERALE,BONVIVA*1 siringa EV 3 mg/3 ml,138 37,83 85,-,ROCHE SpA,036899033,BKP,
Bosutinib,BOSUTINIB 100MG 28 UNITA' USO ORALE,BOSULIF*28 cpr riv 100 mg,1.543 12,934 99,-,PFIZER ITALIA Srl,042735011,UCA,
Bosutinib,BOSUTINIB 500MG 28 UNITA' USO ORALE,BOSULIF*28 cpr riv 500 mg,6.172 47,3.739 96,-,PFIZER ITALIA Srl,042735035,UCB,
Tossina botulinica di clostridium botulinum Tipo A,TOSSINA BOTULINICA DI CLOSTRIDIUM BOTULINUM TIPO A 100 UNITA' ALLERGAN 1 UNITA' USO PARENTERALE,BOTOX*1 fiala IM 100 Unita' Allergan,212 98,129 05,-,ALLERGAN SpA,034883013,BNM,
C-13 Urea,C-13 UREA 75MG 10ML USO ORALE,BREATHQUALITY-UBT*os soluz 75 mg 10 ml,42 44,19 29,-,AB ANALITICA Srl,034510014,BOM,
Esmololo,ESMOLOLO 2.500MG 250ML 1 UNITA' USO PARENTERALE,BREVIBLOC*1 sacca EV 250 ml 10 mg/ml,195 00,118 14,-,BAXTER SpA,027248032,AOZ,
Esmololo,ESMOLOLO 100MG 10ML 5 UNITA' USO PARENTERALE,BREVIBLOC*5 fiale infus 100 mg 10 ml,65 03,29 55,-,BAXTER SpA,027248020,AOY,
Sugammadex,SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE,BRIDION*10 flaconcini EV 2 ml 100 mg/ml,1.221 31,740 00,-,MSD ITALIA Srl,038801015,BLK,
Sugammadex,SUGAMMADEX 500MG 5ML 10 UNITA' USO PARENTERALE,BRIDION*10 flaconcini EV 5 ml 100 mg/ml,3.053 24,1.849 99,-,MSD ITALIA Srl,038801027,BLL,
Buprenorfina,BUPRENORFINA 2MG 7 UNITA' USO ORALE,BUPRENORFINA*7 cpr sublinguali 2 mg,4 74,2 87,-,MOLTENI & C. F.LLI ALITTI SpA,040325045,AGL,
Buprenorfina,BUPRENORFINA 2MG 7 UNITA' USO ORALE,BUPRENORFINA*7 cpr sublinguali 2 mg,4 23,2 56,-,SUN PHARMACEUTICALS ITALIA Srl,040643013,AGL,
Buprenorfina,BUPRENORFINA 8MG 7 UNITA' USO ORALE,BUPRENORFINA*7 cpr sublinguali 8 mg,14 64,8 87,-,MOLTENI & C. F.LLI ALITTI SpA,040325072,AGM,
Buprenorfina,BUPRENORFINA 8MG 7 UNITA' USO ORALE,BUPRENORFINA*7 cpr sublinguali 8 mg,14 64,8 87,-,SUN PHARMACEUTICALS ITALIA Srl,040643049,AGM,
Busulfano,BUSULFANO 60MG 8 UNITA' USO PARENTERALE,BUSILVEX*8 flaconcini EV 10 ml 6 mg/ml,3.403 47,2.062 21,-,PIERRE FABRE PHARMA Srl,036326027,AGN,
Doxorubicina,DOXORUBICINA 20MG 10ML 1 UNITA' USO PARENTERALE,CAELYX*1 flaconcino EV 20 mg 10 ml 2 mg/ml,520 82,315 57,-,JANSSEN CILAG SpA,033308014,ALZ,
Calcitriolo,CALCITRIOLO 1MCG 1ML 25 UNITA' USO PARENTERALE,CALCIJEX*25 fiale EV 1 ml 1 mcg/ml,276 91,125 87,-,ABBVIE Srl,028819011,AGR,
Calcio levofolinato,CALCIO LEVOFOLINATO 100MG 1 UNITA' USO PARENTERALE,CALCIO LEVOFOLINATO*1 flacone EV 100 mg,15 42,9 34,-,FIDIA FARMACEUTICI SpA,036086027,AGP,
Calcio levofolinato,CALCIO LEVOFOLINATO 100MG 1 UNITA' USO PARENTERALE,CALCIO LEVOFOLINATO*1 flacone EV 100 mg,15 42,9 34,-,TEVA ITALIA Srl,036159022,AGP,
Calcio levofolinato,CALCIO LEVOFOLINATO 175MG 1 UNITA' USO PARENTERALE,CALCIO LEVOFOLINATO*1 flacone EV 175 mg,29 54,17 90,-,FIDIA FARMACEUTICI SpA,036086039,AGQ,
Calcio levofolinato,CALCIO LEVOFOLINATO 175MG 1 UNITA' USO PARENTERALE,CALCIO LEVOFOLINATO*1 flacone EV 175 mg,29 54,17 90,-,TEVA ITALIA Srl,036159034,AGQ,
Calcitriolo,CALCITRIOLO 1MCG 1ML 25 UNITA' USO PARENTERALE,CALCITRIOLO*25 fiale EV 1 mcg/ml,145 40,88 10,-,HOSPIRA ITALIA Srl,036851018,AGR,
Irinotecan,IRINOTECAN 100MG 5ML 1 UNITA' USO PARENTERALE,CAMPTO*1 flaconcino EV 100 mg 5 ml 20 mg/ml,236 08,143 05,-,PFIZER ITALIA Srl,032949024,BBO,
Irinotecan,IRINOTECAN 100MG 5ML 1 UNITA' USO PARENTERALE,CAMPTO*1 flaconcino EV 100 mg 5 ml 20 mg/ml,236 08,143 05,-,PFIZER ITALIA Srl,032949051,BBO,
Irinotecan,IRINOTECAN 300MG 15ML 1 UNITA' USO PARENTERALE,CAMPTO*1 flaconcino EV 300 mg 15 ml 20 mg/ml,708 23,429 13,-,PFIZER ITALIA Srl,032949063,BBP,
Irinotecan,IRINOTECAN 40MG 2ML 1 UNITA' USO PARENTERALE,CAMPTO*1 flaconcino EV 40 mg 2 ml 20 mg/ml,96 58,58 52,-,PFIZER ITALIA Srl,032949012,BBQ,
Irinotecan,IRINOTECAN 40MG 2ML 1 UNITA' USO PARENTERALE,CAMPTO*1 flaconcino EV 40 mg 2 ml 20 mg/ml,96 58,58 52,-,PFIZER ITALIA Srl,032949048,BBQ,
Caspofungin,CASPOFUNGIN 50MG 10ML 1 UNITA' USO PARENTERALE,CANCIDAS*1 flaconcino EV 50 mg 10 ml,662 14,401 19,-,MSD ITALIA Srl,035493016,AHE,
Caspofungin,CASPOFUNGIN 70MG 10ML 1 UNITA' USO PARENTERALE,CANCIDAS*1 flaconcino EV 70 mg 10 ml,842 21,510 31,-,MSD ITALIA Srl,035493030,AHF,
Vandetanib,VANDETANIB 100MG 30 UNITA' USO ORALE,CAPRELSA*30 cpr riv 100 mg,3.025 75,1.833 33,-,ASTRAZENECA SpA,041873011,UZA,
Vandetanib,VANDETANIB 300MG 30 UNITA' USO ORALE,CAPRELSA*30 cpr riv 300 mg,8.252 05,5.000 00,-,ASTRAZENECA SpA,041873023,UZB,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO AHCL*1 flaconcino EV 150 mg 15 ml,67 03,40 61,-,ACCORD HEALTHCARE ITALIA Srl,039263025,AGU,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO AHCL*1 flaconcino EV 450 mg 45 ml,195 76,118 61,-,ACCORD HEALTHCARE ITALIA Srl,039263037,AGV,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO AHCL*1 flaconcino EV 50 mg 5 ml,22 34,13 54,-,ACCORD HEALTHCARE ITALIA Srl,039263013,AGW,
Carboplatino,CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE,CARBOPLATINO AHCL*1 flaconcino EV 600 mg 60 ml,285 33,172 88,-,ACCORD HEALTHCARE ITALIA Srl,039263049,AGY,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 150 mg 15 ml,122 89,55 87,-,HOSPIRA ITALIA Srl,028491025,AGU,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 150 mg 15 ml,98 35,44 71,-,PFIZER ITALIA Srl,032776027,AGU,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 150 mg 15 ml,67 03,40 61,-,SANDOZ SpA,037050022,AGU,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 150 mg 15 ml,67 03,40 61,-,SUN PHARMACEUTICALS ITALIA Srl,039946025,AGU,
Carboplatino,CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 150 mg 15 ml,67 03,40 61,-,AUROBINDO PHARMA ITALIA Srl,039990039,AGU,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 450 mg 45 ml,346 00,157 27,-,HOSPIRA ITALIA Srl,028491037,AGV,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 450 mg 45 ml,260 94,118 61,-,PFIZER ITALIA Srl,032776039,AGV,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 450 mg 45 ml,195 76,118 61,-,SANDOZ SpA,037050034,AGV,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 450 mg 45 ml,195 76,118 61,-,SUN PHARMACEUTICALS ITALIA Srl,039946037,AGV,
Carboplatino,CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 450 mg 45 ml 10 mg/ml,195 76,118 61,-,AUROBINDO PHARMA ITALIA Srl,039990041,AGV,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 50 mg 5 ml,38 15,17 34,-,HOSPIRA ITALIA Srl,028491013,AGW,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 50 mg 5 ml,30 51,13 87,-,PFIZER ITALIA Srl,032776015,AGW,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 50 mg 5 ml,22 34,13 54,-,SANDOZ SpA,037050010,AGW,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 50 mg 5 ml,22 34,13 54,-,SUN PHARMACEUTICALS ITALIA Srl,039946013,AGW,
Carboplatino,CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 50 mg 5 ml,22 34,13 54,-,AUROBINDO PHARMA ITALIA Srl,039990015,AGW,
Carboplatino,CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 600 mg 60 ml,447 48,203 40,-,HOSPIRA ITALIA Srl,028491076,AGY,
Carboplatino,CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 600 mg 60 ml,285 33,172 88,-,TEVA ITALIA Srl,034347068,AGY,
Carboplatino,CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 600 mg 60 ml,285 33,172 88,-,SUN PHARMACEUTICALS ITALIA Srl,039946049,AGY,
Carboplatino,CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE,CARBOPLATINO*1 flaconcino EV 600 mg 60 ml,285 33,172 88,-,AUROBINDO PHARMA ITALIA Srl,039990054,AGY,
Carboplatino,CARBOPLATINO 50MG 5ML 5 UNITA' USO PARENTERALE,CARBOPLATINO*5 flaconcini EV 50 mg 5 ml,111 73,67 70,-,SANDOZ SpA,037050046,AGX,
Tetrakis Cu tetrafluoroborato/cloruro stannoso diidrato/levocisteina cloridrato monoidrato,TETRAKIS CU TETRAFLUOROBORATO+CLORURO STANNOSO+LEVOCISTEINA 5ML 5 UNITA' USO PARENTERALE,CARDIOLITE*5 flaconi 5 ml,-,-,-,LANTHEUS MI UK LTD,028601019,BMF,
Dexrazoxano,DEXRAZOXANO 500MG 1 UNITA' USO PARENTERALE,CARDIOXANE*1 fiala EV 500 mg,70 76,42 87,-,CLINIGEN HEALTHCARE LTD,028223016,AKU,
Epoprostenolo,EPOPROSTENOLO 0 5MG 1 UNITA' USO PARENTERALE,CARIPUL*1 flaconcino EV 0 5 mg + 1 flaconcino solv 100 ml,104 13,63 09,-,ACTELION PHARM.ITALIA Srl,042119038,AOK,
Epoprostenolo,EPOPROSTENOLO 1 5MG 1 UNITA' USO PARENTERALE,CARIPUL*1 flaconcino EV 1 5 mg + 1 flaconcino solv 100 ml,178 59,108 21,-,ACTELION PHARM.ITALIA Srl,042119040,AOL,
Clonidina,CLONIDINA 0 15MG 1ML 5 UNITA' USO PARENTERALE,CATAPRESAN*5 fiale SC IM EV 0 15 mg 1 ml,4 99,2 27,-,BOEHRINGER INGELHEIM IT.SpA,021502036,AJL,
Cefotaxima,CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 fiala EV 2 g + 1 fiala solv 10 ml,9 49,4 31,-,SANDOZ SpA,035483039,AHM,
Cefotaxima,CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 flacone EV 2 g + 1 fiala solv 10 ml,9 49,4 31,-,TEVA ITALIA Srl,035374014,AHM,
Cefotaxima,CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIME*1 flacone EV 2 g + 1 fiala solv 10 ml,9 49,4 31,-,HOSPIRA ITALIA Srl,034992053,AHM,
Cefotaxima,CEFOTAXIMA 1.000MG 10 UNITA' USO PARENTERALE,CEFOTAXIME*10 fiale EV 1 g,35 61,21 57,-,I.B.I.GIOVANNI LORENZINI SpA,035118052,AHL,
Ceftazidima,CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 fiala EV 1 g + 1 fiala solv 10 ml,9 37,5 68,-,TEVA ITALIA Srl,036022034,AHP,
Ceftazidima,CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 flaconcino EV 1 g + 1 fiala solv 10 ml,9 37,5 68,-,FRESENIUS KABI ITALIA Srl,036591042,AHP,
Ceftazidima,CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 flacone EV 1 g/10 ml + 1 fiala solv 10 ml,9 37,5 68,-,BIOPHARMA Srl,036012045,AHP,
Ceftazidima,CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 flacone EV 2 g,19 92,12 07,-,BIOPHARMA Srl,036012058,AHR,
Ceftazidima,CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 flacone EV 2 g,19 92,12 07,-,TEVA ITALIA Srl,036022046,AHR,
Ceftazidima,CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTAZIDIMA*1 flacone EV 2 g,19 92,12 07,-,FRESENIUS KABI ITALIA Srl,036591055,AHR,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml,7 44,4 50,-,RATIOPHARM ITALIA Srl,035802040,AHU,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml,7 44,4 50,-,BIOPHARMA Srl,035814033,AHU,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml,7 44,4 50,-,BIESSE PHARMA Srl,035939040,AHU,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml,7 44,4 50,-,SANDOZ SpA,039062359,AHU,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 2 g,14 95,9 06,-,BIESSE PHARMA Srl,035939053,AHW,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 fiala EV 2 g polvere per infusione,14 95,9 06,-,MYLAN SpA,035878053,AHW,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 flacone EV 1 g 10 ml + 1 fiala 10 ml,7 44,4 50,-,FRESENIUS KABI ITALIA Srl,035906041,AHU,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 flacone EV 2 g,14 95,9 06,-,RATIOPHARM ITALIA Srl,035802053,AHW,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 flacone EV 2 g,14 95,9 06,-,FRESENIUS KABI ITALIA Srl,035906054,AHW,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,CEFTRIAXONE*1 flacone polv EV 2 g,14 95,9 06,-,BIOPHARMA Srl,035814045,AHW,
Ceftriaxone,CEFTRIAXONE 2.000MG 10 UNITA' USO PARENTERALE EV,CEFTRIAXONE*10 flaconcini 2 g polv per infusione,134 55,81 52,-,MYLAN SpA,035878077,GSC,
Ceftriaxone,CEFTRIAXONE 1.000MG 10 UNITA' USO PARENTERALE EV,CEFTRIAXONE*10 flaconi 1 g,70 67,37 68,-,MYLAN SpA,035878065,AHV,
Maraviroc,MARAVIROC 150MG 60 UNITA' USO ORALE,CELSENTRI*60 cpr riv 150 mg,1.411 10,855 00,-,VIIV HEALTHCARE Srl,038138032,BDL,
Maraviroc,MARAVIROC 300MG 60 UNITA' USO ORALE,CELSENTRI*60 cpr riv 300 mg,1.411 10,855 00,-,VIIV HEALTHCARE Srl,038138083,BDM,
Proteina C Umana,PROTEINA C UMANA 1.000UI 1 UNITA' USO PARENTERALE,CEPROTIN*1 fiala EV 1.000 UI,3.284 30,1.990 00,-,BAXTER SpA,035389028,BIS,
Proteina C Umana,PROTEINA C UMANA 500UI 1 UNITA' USO PARENTERALE,CEPROTIN*1 fiala EV 500 UI,1.642 15,995 00,-,BAXTER SpA,035389016,BIT,
Esametazima,ESAMETAZIMA 0 5MG 2 UNITA' USO PARENTERALE,CERETEC*2 flaconcini EV 0 5 mg,934 57,424 81,-,GE HEALTHCARE Srl,029372024,AOW,
Esametazima,ESAMETAZIMA 0 5MG 5 UNITA' USO PARENTERALE,CERETEC*5 flaconcini EV 0 5 mg,2.336 43,1.062 01,-,GE HEALTHCARE Srl,029372036,AOX,
Imiglucerasi,IMIGLUCERASI 400U 10ML 1 UNITA' USO PARENTERALE,CEREZYME*1 flaconcino EV 400 U/10 ml,2.193 00,1.328 77,-,GENZYME Srl,034088031,AUE,
Vaccino Papillomavirus Umano,VACCINO PAPILLOMAVIRUS UM.16 18 0 5ML 1 UNITA' USO PARENTERALE,CERVARIX*1 siringa IM 0 5 ml + 1 ago,156 79,95 00,-,GLAXOSMITHKLINE SpA,038120046,BPF,
Vaccino Papillomavirus Umano,VACCINO PAPILLOMAVIRUS UM.16 18 0 5ML 10 UNITA' USO PARENTERALE,CERVARIX*10 siringhe IM 0 5 ml + 10 aghi,1.567 89,950 00,-,GLAXOSMITHKLINE SpA,038120061,BPG,
Chinina cloridrato,CHININA CLORIDRATO 500MG 2ML 10 UNITA' USO PARENTERALE,CHININA CLORIDRATO*10 fiale 500 mg/2 ml,12 96,7 86,-,AID-STAB.CHIM. FARM.MILITARE,036310011,AIC,
Certolizumab pegol,CERTOLIZUMAB PEGOL 200MG 1ML 2 UNITA' USO PARENTERALE,CIMZIA*2 siringhe SC 200 mg 1 ml,1.519 29,920 55,-,UCB PHARMA SpA,039539010,AHX,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 1 UNITA' USO PARENTERALE,CIPROFLOXACINA*1 flaconcino EV 200 mg 100 ml,13 33,8 08,-,SANDOZ SpA,037984034,AIH,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 1 UNITA' USO PARENTERALE,CIPROFLOXACINA*1 flaconcino EV 400 mg 200 ml,30 31,18 36,-,SANDOZ SpA,037984046,AIL,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 1 UNITA' USO PARENTERALE,CIPROFLOXACINA*1 sacca EV 400 mg 200 ml,30 31,18 36,-,HIKMA FARMACEUTICA S.A.,037571054,AIL,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 flaconi EV 200 mg 100 ml,126 61,76 71,-,FRESENIUS KABI ITALIA Srl,037406257,AII,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 flaconi EV 400 mg 200 ml,287 92,174 46,-,FRESENIUS KABI ITALIA Srl,037406307,AIM,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche EV 200 mg 100 ml,133 30,80 78,-,IBIGEN Srl,037523026,AII,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche EV 400 mg 200 ml,303 12,183 66,-,IBIGEN Srl,037523038,AIM,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche excel EV 200 mg 100 ml,152 12,92 17,-,FRESENIUS KABI ITALIA Srl,037406093,AII,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche excel EV 400 mg 200 ml,345 65,209 44,-,FRESENIUS KABI ITALIA Srl,037406156,AIM,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche freeflex EV 200 mg 100 ml,126 61,76 71,-,FRESENIUS KABI ITALIA Srl,037406473,AII,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche freeflex EV 400 mg 200 ml,287 92,174 46,-,FRESENIUS KABI ITALIA Srl,037406535,AIM,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche soluz infus 200 mg 100 ml,133 30,80 78,-,VILLERTON INVEST S.A.,037522024,AII,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche soluz infus 200 mg/100 ml,133 30,80 78,-,KEIRONPHARMA Srl,040034035,AII,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche soluz infus 400 mg 200 ml,303 12,183 66,-,VILLERTON INVEST S.A.,037522036,AIM,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE,CIPROFLOXACINA*10 sacche soluz infus 400 mg/200 ml,303 12,183 66,-,KEIRONPHARMA Srl,040034074,AIM,
Ciprofloxacina,CIPROFLOXACINA 400MG 200ML 15 UNITA' USO PARENTERALE,CIPROFLOXACINA*15 sacche 400 mg 200 ml,409 26,247 97,-,MYLAN SpA,039361148,AIN,
Ciprofloxacina,CIPROFLOXACINA 200MG 100ML 20 UNITA' USO PARENTERALE,CIPROFLOXACINA*20 sacche soluz infus 200 mg/100 ml,253 21,153 43,-,KEIRONPHARMA Srl,040034047,DJR,
